Argentina* 34.848 37.520 2664.873 280.049 0.483 41.193 1.000
Australia* 99.029 19.490 4974.206 453.257 0.303 73.325 1.000
Austria* 18.191 8.080 1419.417 268.651 0.617 27.443 1.000
Belgium* 39.359 10.260 2773.546 321.571 0.451 43.440 1.000
Bolivia 2.617 8.470 161.634 8.039 0.377 2.415 0.999
Brazil 95.771 172.390 8782.125 771.454 0.559 131.045 0.999
Bulgaria* 15.477 7.870 927.933 12.592 0.361 13.664 1.000
Canada* 156.189 31.080 12 513.070 718.128 0.481 183.899 1.000
Chile 14.754 15.400 1060.295 81.926 0.433 15.645 0.999
China 831.736 1285.000 39 665.259 1113.586 0.289 588.721 0.999
Costa Rica 1.385 3.870 154.076 15.104 0.700 2.374 1.000
Croatia* 5.687 4.660 429.164 23.352 0.454 6.325 1.000
Czech Republic* 29.006 10.290 1530.555 57.085 0.317 22.525 1.000
Denmark* 16.242 5.330 895.227 207.444 0.485 19.268 1.000
Egypt 34.290 67.890 2132.604 80.800 0.377 31.647 0.999
El Salvador 1.525 6.400 114.658 11.242 0.495 1.847 1.000
Estonia* 1.939 1.380 95.669 4.814 0.297 1.412 0.997
Finland* 14.405 5.190 1326.014 173.566 0.613 21.596 1.000
France* 108.126 59.190 10 521.357 1812.350 0.734 194.203 1.000
Germany* 223.240 82.360 143 51.562 2701.903 0.507 276.752 1.000
Greece* 28.079 10.600 1393.198 144.773 0.310 21.301 1.000
Guatemala 2.516 11.680 158.699 18.194 0.451 2.774 1.000
Honduras 1.267 6.580 86.470 4.680 0.420 1.302 0.998
Indonesia 87.128 214.840 4629.777 215.932 0.324 69.032 0.999
Ireland* 11.148 3.840 609.289 112.914 0.428 11.667 1.000
Israel 16.321 6.450 792.021 107.301 0.330 13.181 1.000
Italy* 121.498 57.950 8110.681 1225.567 0.475 141.254 1.000
Japan* 315.831 127.340 21 921.986 5651.488 0.648 501.098 1.000
Kazakhstan 33.366 14.830 1734.572 21.810 0.313 25.543 1.000
Latvia* 2.654 2.360 205.871 6.026 0.467 3.035 0.997
Lithuania* 4.330 3.490 329.191 7.513 0.458 4.851 0.999
Luxembourg* 2.467 0.440 203.096 25.466 0.539 3.253 1.000
Malaysia 36.151 23.630 2274.952 112.213 0.379 33.521 1.000
Maldives 0.133 0.280 6.766 0.543 0.312 0.102 1.000
Malta 1.072 0.390 51.413 3.989 0.289 0.757 0.990
Mexico 96.048 101.750 6003.999 372.405 0.377 88.661 0.999
Netherlands* 67.519 16.040 4231.063 502.581 0.404 66.723 1.000
New Zealand* 9.612 3.850 844.122 70.975 0.528 12.414 0.999
Nicaragua 1.018 5.210 58.122 2.384 0.353 0.879 0.995
Norway* 11.448 4.510 1906.093 172.911 1.000 28.012 1.000
Panama 2.257 2.860 138.456 9.395 0.371 2.047 0.999
Paraguay 0.958 5.640 110.929 9.593 0.732 1.716 0.998
Peru 7.185 26.350 550.334 60.888 0.517 9.095 0.998
Philippines 18.624 77.130 1254.272 91.235 0.417 19.022 0.998
Poland* 78.608 38.640 3536.036 165.274 0.271 52.113 1.000
Portugal* 16.250 10.020 1088.212 131.884 0.437 17.372 1.000
Republic of Korea 120.800 47.340 8058.116 639.239 0.401 118.559 1.000
Romania* 25.970 22.410 1637.662 34.918 0.380 24.157 1.000
Russian Federation* 440.260 144.400 28 197.166 366.904 0.385 414.763 1.000
Seychelles 0.165 0.080 8.450 0.620 0.308 0.124 1.000
Slovakia* 10.825 5.400 832.038 23.806 0.462 12.244 1.000
Slovenia* 4.060 1.990 305.558 23.864 0.453 4.497 0.999
Spain* 82.722 40.270 5699.314 723.243 0.455 92.157 1.000
Sweden* 14.584 8.830 2221.195 281.291 1.000 35.686 1.000
Switzerland* 12.266 7.230 1304.669 340.276 1.000 30.014 1.000
